85	95.24929935577666 95.24929909662283 95.24929978476683 95.24929935577666
86	251.30549999999997 251.3055 251.30549999999997 251.30549999999997
87	259.0306 259.0306 259.0306 259.0306
88	261.5307 261.5307 261.5307 261.5307
89	261.6908981892487 261.69089751079736 261.6908993546684 261.6908981892487
90	249.4636 249.4636 249.46359999999999 249.4636
91	284.3962 284.3962 284.39619999999996 284.3962
92	263.1856 263.1856 263.18559999999997 263.1856
93	267.492 267.492 267.492 267.492
94	117.45568358602821 117.45567837259759 117.45569328613352 117.45568358602821
95	-43.91750000000113 -43.91750000000206 -43.91750000000017 -43.91750000000113
96	280.6835120444436 280.6830236227944 280.68460711374667 280.6835120444436
97	228.6203 228.62030000000001 228.6203 228.6203
98	250.27569999999997 250.27570000000003 250.2757 250.27569999999997
99	185.50021901947304 185.47508358985039 185.56781459644304 185.50021901947304
100	231.4249 231.4249 231.42489999999998 231.4249
101	246.49829999999997 246.4983 246.4983 246.49829999999997
102	242.0993 242.09930000000003 242.09929999999997 242.0993
103	258.6107 258.6107 258.6107 258.6107
104	236.728 236.72800000000004 236.72799999999998 236.728
105	279.3779 279.3779 279.3779 279.3779
106	261.6364 261.6364 261.6364 261.6364
107	264.85339999999985 264.85339999999974 264.85339999999997 264.85339999999985
108	96.38529970395334 96.38529957860773 96.38529990578324 96.38529970395334
109	252.8687 252.86870000000002 252.86869999999996 252.8687
110	155.93550870686934 155.93535236213623 155.93584276280012 155.93550870686934
111	171.22699573776958 171.22689916660173 171.22719798102645 171.22699573776958
112	284.3612 284.3612 284.36119999999994 284.3612
113	256.2804 256.2804 256.2804 256.2804
114	278.9194 278.9194 278.9194 278.9194
115	299.348 299.348 299.348 299.348
116	235.22189999999998 235.2219 235.22189999999998 235.22189999999998
117	272.4126 272.4126 272.4126 272.4126
118	1.357599999983793 1.3575999999721402 1.3575999999972064 1.357599999983793
119	-76.03790000000002 -76.03790000000005 -76.03790000000001 -76.03790000000002
120	-77.2397 -77.2397 -77.23969999999998 -77.2397
121	-72.3784 -72.37840000000001 -72.37839999999998 -72.3784
122	-46.383600000004826 -46.38360000000849 -46.38360000000077 -46.383600000004826
123	-30.981300000001273 -30.981300000002296 -30.981300000000182 -30.981300000001273
124	-36.4449000000046 -36.444900000008104 -36.44490000000073 -36.4449000000046
125	-73.55830000000002 -73.55830000000002 -73.5583 -73.55830000000002
126	-75.85300000000052 -75.85300000000097 -75.85300000000008 -75.85300000000052
127	-76.41500000000008 -76.41500000000015 -76.41500000000002 -76.41500000000008
128	-80.10650000000007 -80.10650000000011 -80.1065 -80.10650000000007
129	-78.96840000000003 -78.96840000000003 -78.96839999999999 -78.96840000000003
130	-74.18180000000001 -74.18180000000001 -74.18180000000001 -74.18180000000001
131	-78.49950000000001 -78.49950000000001 -78.4995 -78.49950000000001
132	-76.13450000000002 -76.13450000000002 -76.1345 -76.13450000000002
133	-78.2487 -78.2487 -78.2487 -78.2487
134	-75.2123 -75.2123 -75.2123 -75.2123
135	-76.38040000000002 -76.38040000000002 -76.38040000000001 -76.38040000000002
136	-78.47200000000001 -78.47200000000002 -78.47200000000001 -78.47200000000001
137	-72.29680000000002 -72.29680000000002 -72.2968 -72.29680000000002
138	-79.22540000000001 -79.22540000000001 -79.22540000000001 -79.22540000000001
139	-76.89880000000001 -76.89880000000001 -76.89880000000001 -76.89880000000001
140	-73.98220000000002 -73.98220000000002 -73.9822 -73.98220000000002
